Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.099319,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.094137,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.087228,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.089387,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.091978,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.097591,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.102341,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.106660,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.112273,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.122637,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.124364,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.121342,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.117887,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119183,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.116592,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.111410,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.106660,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.104501,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.110114,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109251,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105365,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.105796,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.107955,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.107092,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.113569,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.110114,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112273,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.113569,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113137,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.111410,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.110546,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.107092,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103206,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.097591,46188800
1981-02-02,0.119420,0.119420,0.118862,0.118862,0.091978,23766400
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095433,19152000
1981-02-04,0.127790,0.128348,0.127790,0.127790,0.098887,27865600
1981-02-05,0.127790,0.128906,0.127790,0.127790,0.098887,7929600
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099319,13865600
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094137,16755200
1981-02-10,0.121652,0.122210,0.121652,0.121652,0.094137,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091115,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090250,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088091,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090250,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094137,19241600
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.088523,22310400
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.083773,24371200
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085069,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082046,16979200
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.087228,19488000
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.088523,10841600
1981-02-27,0.118304,0.119420,0.118304,0.118304,0.091546,14761600
1981-03-02,0.118862,0.119420,0.118862,0.118862,0.091978,11760000
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.090683,16172800
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.089818,13708800
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.089387,5376000
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.088523,11603200
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.081614,15321600
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.077727,28380800
1981-03-11,0.097656,0.097656,0.096540,0.096540,0.074705,29859200
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.077727,59248000
1981-03-13,0.099888,0.099888,0.099330,0.099330,0.076864,231302400
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.079887,37228800
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.083773,43747200
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.088955,36937600
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088091,37811200
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.088955,14604800
1981-03-23,0.119420,0.120536,0.119420,0.119420,0.092410,22019200
1981-03-24,0.119420,0.119420,0.118862,0.118862,0.091978,28156800
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.090250,7056000
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.088523,12275200
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.085501,12252800
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.085501,9900800
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.084637,15993600
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.083773,34070400
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.091115,31404800
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.091546,16486400
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.089818,22803200
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.088955,10684800
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.093274,21952000
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.095001,12499200
1981-04-10,0.124442,0.125000,0.124442,0.124442,0.096296,33465600
1981-04-13,0.124442,0.125000,0.124442,0.124442,0.096296,16060800
1981-04-14,0.124442,0.125000,0.124442,0.124442,0.096296,6652800
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.091546,34048000
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.086364,23878400
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.088955,35347200
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.095001,28537600
1981-04-22,0.127232,0.127790,0.127232,0.127232,0.098455,18995200
1981-04-23,0.130580,0.131138,0.130580,0.130580,0.101046,58016000
1981-04-24,0.130580,0.130580,0.129464,0.129464,0.100182,35056000
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.099319,38528000
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.097591,32188800
1981-04-29,0.125000,0.125000,0.124442,0.124442,0.096296,13641600
1981-04-30,0.126674,0.127790,0.126674,0.126674,0.098023,12611200
1981-05-01,0.126674,0.127790,0.126674,0.126674,0.098023,16553600
1981-05-04,0.126674,0.126674,0.126116,0.126116,0.097591,14448000
1981-05-05,0.126116,0.126116,0.125558,0.125558,0.097160,17539200
1981-05-06,0.122768,0.122768,0.122210,0.122210,0.094569,18950400
1981-05-07,0.123884,0.124442,0.123884,0.123884,0.095864,9363200
1981-05-08,0.125000,0.125558,0.125000,0.125000,0.096728,7907200
1981-05-11,0.122768,0.122768,0.122210,0.122210,0.094569,11939200
1981-05-12,0.122210,0.123884,0.122210,0.122210,0.094569,4256000
1981-05-13,0.122210,0.123326,0.121652,0.121652,0.094137,4905600
1981-05-14,0.121094,0.121094,0.119978,0.119978,0.092842,4928000
1981-05-15,0.122768,0.124442,0.122768,0.122768,0.095001,4905600
1981-05-18,0.125000,0.126116,0.125000,0.125000,0.096728,4166400
1981-05-19,0.123326,0.123326,0.122768,0.122768,0.095001,25424000
1981-05-20,0.126674,0.127790,0.126674,0.126674,0.098023,13283200
1981-05-21,0.133929,0.134487,0.133929,0.133929,0.103637,32211200
1981-05-22,0.140067,0.141183,0.140067,0.140067,0.108387,31427200
1981-05-26,0.140067,0.140067,0.139509,0.139509,0.107955,85344000
1981-05-27,0.147321,0.147879,0.147321,0.147321,0.114000,149497600
1981-05-28,0.147321,0.147879,0.147321,0.147321,0.114000,73987200
1981-05-29,0.147879,0.148438,0.147879,0.147879,0.114432,59382400
1981-06-01,0.147879,0.148438,0.147879,0.147879,0.114432,51251200
1981-06-02,0.141183,0.141183,0.140625,0.140625,0.108819,40432000
1981-06-03,0.140625,0.141741,0.140625,0.140625,0.108819,39446400
1981-06-04,0.143415,0.143973,0.143415,0.143415,0.110978,56067200
1981-06-05,0.141741,0.141741,0.141183,0.141183,0.109251,57680000
1981-06-08,0.136719,0.136719,0.136161,0.136161,0.105365,93497600
1981-06-09,0.138951,0.139509,0.138951,0.138951,0.107524,119593600
1981-06-10,0.140625,0.142299,0.140625,0.140625,0.108819,25222400
1981-06-11,0.146763,0.147321,0.146763,0.146763,0.113569,38976000
1981-06-12,0.145647,0.145647,0.145089,0.145089,0.112273,25804800
1981-06-15,0.145089,0.145089,0.144531,0.144531,0.111841,143763200
1981-06-16,0.142299,0.142299,0.141741,0.141741,0.109682,37251200
1981-06-17,0.140067,0.140067,0.139509,0.139509,0.107955,27574400
1981-06-18,0.139509,0.140067,0.138951,0.138951,0.107524,23049600
1981-06-19,0.135603,0.135603,0.135045,0.135045,0.104501,27507200
1981-06-22,0.130580,0.130580,0.130022,0.130022,0.100614,10841600
1981-06-23,0.132254,0.133371,0.132254,0.132254,0.102341,15030400
1981-06-24,0.130022,0.130022,0.128906,0.128906,0.099750,23027200
1981-06-25,0.131696,0.132254,0.131696,0.131696,0.101909,24259200
1981-06-26,0.131138,0.131138,0.130022,0.130022,0.100614,23788800
1981-06-29,0.126674,0.126674,0.125558,0.125558,0.097160,10595200
1981-06-30,0.116629,0.116629,0.116071,0.116071,0.089818,35907200
1981-07-01,0.115513,0.115513,0.114955,0.114955,0.088955,170464000
1981-07-02,0.114955,0.115513,0.114955,0.114955,0.088955,30284800
1981-07-06,0.112165,0.112165,0.111049,0.111049,0.085932,16531200
1981-07-07,0.112165,0.113281,0.112165,0.112165,0.086796,15836800
1981-07-08,0.116629,0.117188,0.116629,0.116629,0.090250,16620800
1981-07-09,0.108259,0.108259,0.107701,0.107701,0.083342,32883200
1981-07-10,0.099888,0.099888,0.099330,0.099330,0.076864,55171200
1981-07-13,0.101563,0.102121,0.101563,0.101563,0.078592,45740800
1981-07-14,0.106027,0.107143,0.106027,0.106027,0.082046,19779200
1981-07-15,0.108817,0.109375,0.108817,0.108817,0.084205,10953600
1981-07-16,0.111607,0.112723,0.111607,0.111607,0.086364,15232000
1981-07-17,0.115513,0.116071,0.115513,0.115513,0.089387,19824000
1981-07-20,0.108259,0.108259,0.107701,0.107701,0.083342,23654400
1981-07-21,0.107701,0.107701,0.107143,0.107143,0.082910,31942400
1981-07-22,0.102121,0.102121,0.101004,0.101004,0.078159,22668800
1981-07-23,0.103795,0.104353,0.103795,0.103795,0.080319,34451200
1981-07-24,0.107143,0.107701,0.107143,0.107143,0.082910,28851200
1981-07-27,0.111607,0.112165,0.111607,0.111607,0.086364,17337600
1981-07-28,0.108259,0.108259,0.107701,0.107701,0.083342,22848000
1981-07-29,0.106585,0.106585,0.106027,0.106027,0.082046,15500800
1981-07-30,0.109933,0.111049,0.109933,0.109933,0.085069,9900800
1981-07-31,0.111607,0.112165,0.111607,0.111607,0.086364,10953600
1981-08-03,0.111607,0.111607,0.110491,0.110491,0.085501,12432000
1981-08-04,0.112165,0.112723,0.112165,0.112165,0.086796,31673600
1981-08-05,0.115513,0.116071,0.115513,0.115513,0.089387,17494400
1981-08-06,0.113281,0.113281,0.112723,0.112723,0.087228,10528000
1981-08-07,0.112723,0.113281,0.112723,0.112723,0.087228,9206400
1981-08-10,0.112723,0.112723,0.112723,0.112723,0.087228,0
1981-08-11,0.110491,0.110491,0.109375,0.109375,0.084637,71456000
1981-08-12,0.107701,0.107701,0.107143,0.107143,0.082910,26275200
1981-08-13,0.104353,0.104353,0.103795,0.103795,0.080319,27484800
1981-08-14,0.103237,0.103237,0.102121,0.102121,0.079024,24192000
1981-08-17,0.099888,0.099888,0.098772,0.098772,0.076432,18905600
1981-08-18,0.097656,0.097656,0.096540,0.096540,0.074705,17001600
1981-08-19,0.096540,0.096540,0.095424,0.095424,0.073841,20675200
1981-08-20,0.096540,0.097098,0.096540,0.096540,0.074705,17113600
